,Crayon news websites
53,http://www.canada.com/vancouver/
54,http://www.canada.com/ottawa/ottawacitizen/
55,http://www2.cdn-news.com/newsnet/ccn/all.html
56,http://www.princegeorgecitizen.com/
57,http://www.tbsource.com/
58,http://www.nsnews.com/
59,http://www.canada.com/regina/leaderpost/
60,http://www.southam.com/kamloopsdailynews/
61,http://www.kingstonwhigstandard.com/
62,http://www.bourque.org/
63,http://www.lethbridgeherald.com/index.html
64,http://www.newsworld.cbc.ca/
65,http://www.canada.com/calgary/calgaryherald/
66,http://www.southam.com/windsorstar/
67,http://www.winnipegfreepress.com/
68,http://www.webfin.com/en/
69,http://sudbury.siteseer.ca/
70,http://www.saskstar.sk.ca/
71,http://www.canoe.ca/LondonNews/home.html
72,http://www.canada.com/edmonton/edmontonjournal/
73,http://www.herald.ns.ca/
74,http://www.hamiltonspectator.com
75,http://www.shelbycountyreporter.com/
76,http://www.cw.ua.edu/
77,http://www.al.com/
78,http://www.postherald.com/
79,http://www.whnt19.com/global/Frameset.asp?P=/default.asp
80,http://www.news-miner.com/
81,http://juneauempire.com/
82,http://www.adn.com/
83,http://www.azstarnet.com/public/dnews/
84,http://www.tucsonweekly.com/tw/current/currents_toc.html
85,http://www.azcentral.com/
86,http://www.camdenarknews.com/
87,http://www.nwarktimes.com/times/
88,http://nwanews.com/dailyrecord/
89,http://www.ardemgaz.com/
90,http://www.mornews.com/
91,http://www.sfgate.com/
92,http://www.latimes.com/news/local/
93,http://www.whittierdailynews.com/
94,http://www.presstelegram.com/
95,http://www.pasadenastarnews.com/
96,http://www.sgvtribune.com/
97,http://www.examiner.com/
98,http://www.avpress.com/
99,http://www.sacbee.com/content/news
100,http://www.bayarea.com/mld/mercurynews/
101,http://www.paloaltoonline.com/paw/paonline/weekly/index2.shtml
102,http://www.pressdemo.com/news.html
103,http://www.recordnet.com/
104,http://www.modbee.com/
105,http://www.oaklandtribune-ang.com/
106,http://www.theunion.com/
107,http://www.contracostatimes.com/
108,http://www.timesstar.com/
109,http://www.argus-ang.com/
110,http://tw.us.publicus.com/apps/pbcs.dll/frontpage
111,http://tb.us.publicus.com/apps/pbcs.dll/frontpage
112,http://www.dailyreview-ang.com/
113,http://www.herald-ang.com/
114,http://www.sanmateotimes-ang.com/
115,http://InsideDenver.com/
116,http://www.gazette.com/
117,http://www.denverpost.com/
118,http://www.coloradodaily.com/
119,http://www.chieftain.com/
120,http://www.bouldernews.com/
121,http://www.longmontfyi.com/
122,http://www.newlondonday.com/
123,http://www.courant.com/news/page1.stm
124,http://www.newstimes.com/
125,http://www.fairfieldweekly.com/
126,http://www.zwire.com/site/news.asp?brd=1281
127,http://www.newtownbee.com/
128,http://www.record-journal.com/
129,http://www.connpost.com/
130,http://www.newhavenadvocate.com/
131,http://www.thechronicle.com/
132,http://www.zwire.com/site/news.cfm?brd=1641
133,http://www.hartfordadvocate.com/
134,http://www.zwire.com/site/news.cfm?brd=1652
135,http://www.zwire.com/site/news.cfm?brd=1645
136,http://www.zwire.com/site/news.cfm?brd=1643
137,http://www.htnp.com/
138,http://www.wboc.com/
139,http://www.delmarvaheadlines.com/delawarewave/index.html
140,http://www.delmarvaheadlines.com/delawarecoastpress/index.html
141,http://www.washingtonpost.com/
142,http://www.washtimes.com/
143,http://www.jrnl.com/
144,http://www.gulf1.com/
145,http://www.heraldtribune.com/
146,http://www.miami.com/herald/
147,http://www.tampatrib.com/
148,http://www.sun-sentinel.com/
149,http://www.sptimes.com/
150,http://www.orlandosentinel.com/
151,http://www.keynoter.com
152,http://www.bradenton.com/mld/bradenton/
153,http://www.n-jcenter.com/
154,http://www.starbanner.com/
155,http://www.jacksonville.com/
156,http://www.tdo.com/news/breaking/
157,http://www.macontel.com/
158,http://www.accessatlanta.com/news/
159,http://atlanta.creativeloafing.com/cover.html
160,http://augustachronicle.com/
161,http://www.l-e-o.com/
162,http://starbulletin.com/
163,http://www.maui.net/~mauinews/framnews.htm
164,http://home.hawaii.rr.com/hawaiitoday/
165,http://westhawaiitoday.com/
166,http://www.dnews.com/
167,http://www.lmtribune.com/
168,http://www.idahonews.com/
169,http://www.chicagotribune.com/news/local/
170,http://www.suntimes.com/index/
171,http://www.duquoin.com/
172,http://www.qconline.com/news-summary.shtml
173,http://www.dailyregister.com/
174,http://www.herald-review.com/
175,http://www.news-gazette.com/
176,http://www.pantagraph.com/
177,http://www.whig.com/
178,http://www.browncountyindiana.com/news.html
179,http://www.news-banner.com/
180,http://www.thjournal.com/
181,http://www.timeswrsw.com/THENEWS.HTM
182,http://www.indianapolisrecorder.com/
183,http://www.miamicountylife.com/
184,http://www.chestertontribune.com/
185,http://www.tribstar.com/
186,http://www.goshennews.com/news/files/2001/current/index.html
187,http://www.wabashplaindealer.com/Newsstand.asp
188,http://www.southbendtribune.com/
189,http://www.thetimesonline.com/
190,http://www.starnews.com/
191,http://courier.evansville.net/
192,http://web.journalgazette.net/content/fwgazette/
193,http://www.theheraldbulletin.com/
194,http://www.news-sentinel.com/ns/
195,http://www.hoosiertimes.com/
196,http://www.jconline.com/
197,http://www.thestarpress.com/
198,http://www.tmnews.com/
199,http://www.h-ponline.com/
200,http://www.quadcitytimes.com/
201,http://www.siouxcityjournal.com/
202,http://www.gazetteonline.com/
203,http://www.nonpareilonline.com/
204,http://www.ljworld.com/
205,http://cjonline.com/
206,http://www.hutchnews.com/
207,http://www.wichitaeagle.com/
208,http://www.kstatecollegian.com
209,http://www.kentuckyconnect.com/heraldleader/
210,http://www.courier-journal.com/
211,http://www.maysville-online.com/
212,http://www.messenger-inquirer.com/
213,http://www.louisville.com/voice/
214,http://www.whas11.com/
215,http://www.nolalive.com/news/ataglance/t-p/
216,http://www.newsbanner.com/
217,http://www.theadvocate.com/
218,http://www.portland.com/news/news.htm
219,http://www.journaltribune.com/
220,http://www.jrnl.com/cfdocs/new/pg/
221,http://www.jrnl.com/cfdocs/new/mc/
222,http://www.sunspot.net
223,http://www.capitalonline.com/
224,http://www.zwire.com/site/news.cfm?brd
225,http://www.times-news.com/
226,http://www.fredericknewspost.com/
227,http://beaconhilltimes.com/times_toc.mv
228,http://www.boston.com/globe/metro/
229,http://www.s-t.com/
230,http://www.telegram.com/
231,http://www.berkshireeagle.com/
232,http://www.townonline.com/metro/needham/
233,http://www.townonline.com/metro/brookline/
234,http://www.hgazette.com/
235,http://www.newschoice.com/newspapers/midstates/sentinel/default.asp
236,http://www.townonline.com/metro/cambridge/
237,http://www.townonline.com/wellesley/
238,http://www.townonline.com/metrowest/sudbury/
239,http://www.townonline.com/swampscott/
240,http://www.masslive.com/
241,http://www.townonline.com/wayland/
242,http://www.townonline.com/northwest/arlington/
243,http://www.townonline.com/metrowest/weston/
244,http://www.townonline.com/northwest/lexington/
245,http://www.townonline.com/metro/watertown/
246,http://www.townonline.com/north/marblehead/
247,http://www.lowellsun.com/
248,http://www.townonline.com/newton/
249,http://www.dailypressandargus.com/
250,http://www.detnews.com/
251,http://www.freep.com
252,http://observer-eccentric.com/
253,http://www.zwire.com/site/news.asp?brd
254,http://www.thenewsherald.com/
255,http://www.kmsp.tv/
256,http://www.startribune.com/
257,http://www.zwire.com/site/news.cfm?brd
258,http://www.winonadailynews.com/
259,http://www.daily.umn.edu/
260,http://www.sunherald.com/mld/sunherald/
261,http://www.rftstl.com/
262,http://www.stlnet.com/
263,http://www.kansascity.com/mld/kansascity/
264,http://www.joplinglobe.com/
265,http://www.showmenews.com/
266,http://news.mywebpal.com/index.cfm?pnpid=311&om=0
267,http://www.billingsgazette.com/
268,http://www.missoulian.com
269,http://www.omaha.com/
270,http://www.theindependent.com
271,http://www.journalstar.com/
272,http://www.hastingstribune.com/
273,http://www.lasvegassun.com/
274,http://lvrj.com/
275,http://www.nevadaappeal.com/apps/pbcs.dll/frontpage
276,http://td.us.publicus.com/apps/pbcs.dll/frontpage
277,http://www.seacoastonline.com/
278,http://www.fosters.com/
279,http://www.cabinet.com/
280,http://www.keenesentinel.com/
281,http://www.colbsent.com/
282,http://www.cmonitor.com/
283,http://www.nashuatelegraph.com/
284,http://www.theunionleader.com/
285,http://www.granitestatenews.com/
286,http://www.cabinet.com/
287,http://www.nj.com/news/
288,"http://www.news12.com/CDA/0,2033,12,00.html"
289,http://www.injersey.com/hnt/
290,http://www.app.com/
291,http://www.courierpostonline.com/
292,http://www.njherald.com/news.html
293,http://www.nj.com/bridgeton/today/
294,http://www.pressofatlanticcity.com/
295,http://www.greatlinks.com/sunbeam/today/index.ssf
296,http://www.nj.com/gloucester/today/index.ssf
297,http://www.abqjournal.com/
298,http://www.nytimes.com/pages/nyregion/
299,http://www.nypost.com/
300,http://www.villagevoice.com/
301,http://www.mostnewyork.com/
302,http://www.stargazette.com/
303,http://www.newsradio88.com
304,http://www.newsday.com/
305,http://www.rochesterdandc.com/
306,http://www.thejournalnews.com/
307,http://www.syracuse.com/
308,http://www.timesunion.com/
309,"http://www.news12.com/CDA/0,2033,5,00.html"
310,http://www.zwire.com/site/news.asp?brd=1170
311,http://www.citizen-times.com/
312,http://www.charlotte.com/observer/
313,http://www.news-observer.com/
314,http://www.wral.com/
315,http://www.journalnow.com/
316,http://www.thedepot.com/
317,http://www.fayettevillenc.com/
318,http://www.wilmingtonstar.com
319,http://www.bismarcktribune.com/
320,http://www.in-forum.com/
321,http://www.northscape.com/
322,http://www.dispatch.com/
323,http://www.cleveland.com/
324,http://www.medina-gazette.com/
325,http://www.activedayton.com/ddn/
326,http://www.chronicletelegram.com/
327,http://enquirer.com/today/
328,http://www.thecourier.com/
329,http://www.limanews.com/
330,http://www.cincypost.com/
331,http://www.cincinnati-atlas.com/news/
332,http://www.cantonrep.com/cantonrep01/
333,http://www.citybeat.com
334,http://cincinnati.bizjournals.com/cincinnati/
335,http://www.toledoblade.com/
336,http://www.newsok.com/
337,"http://www.stwnewspress.com"
338,http://www.tulsaworld.com/
339,http://news.mywebpal.com/index.cfm?pnpid=844
340,http://www.oregonlive.com/
341,http://www.oregon.com/headlines.html
342,http://www.registerguard.com/
343,http://www.oregonnews.com/
344,http://www.mailtribune.com/
345,http://www.yorksundaynews.com/
346,http://www.post-gazette.com/
347,http://www.philly.com/mld/philly/
348,http://www.phillynews.com/pdn/local/
349,http://www.pittsburghlive.com/x/tribune-review/
350,http://www.zwire.com/site/news.asp?brd=1675
351,http://www.timesnews.com/
352,http://www.sharon-herald.com/
353,http://www.mcall.com
354,http://www.tnonline.com/online/
355,http://www.ydr.com/
356,http://www.centredaily.com/mld/centredaily/
357,http://citizensvoice.com/
358,http://www.yorkdispatch.com/
359,http://www.eveningsun.com
360,http://www.cumberlink.com
361,http://www.leader.net/
362,http://www.orgs.bucknell.edu/bucknellian/natty.asp?ID=headlines.html
363,http://www.ldnews.com/
364,http://www.pennlive.com/expresstimes/today/
365,http://www.pottsville.com/
366,http://www.projo.com/news/
367,http://www.myrtlebeachonline.com/mld/myrtlebeachonline/news/
368,http://www.thestate.com/mld/thestate/
369,http://www.charleston.net/pub/index/news1.shtml
370,http://www.keloland.com/
371,http://www.ksfy.com/
372,http://www.timesfreepress.com/
373,http://www.knoxnews.com/
374,http://www.chron.com/content/news/index.html
375,http://www.Austin360.com/news/
376,http://www.dallasnews.com/
377,http://www.dallasobserver.com/
378,http://www.galvnews.com
379,http://www.dfw.com/mld/startelegram/news/local/states/texas/northeast/
380,http://www.zwire.com/site/news.cfm?brd
381,http://www.caller.com/
382,http://www.texaswest.com/
383,http://www.reporternews.com/
384,http://www.wtr.com/
385,http://www.lubbockonline.com/
386,http://www.sltrib.com/
387,http://www.desnews.com/
388,http://www.standard.net/
389,http://www.harktheherald.com/
390,http://www.parkrecord.com/
391,http://www.hjnews.com/
392,http://www.dvalnews.com/
393,http://www.wcax.com/
394,http://www.thechamplainchannel.com/
395,http://www.jrnl.com/cfdocs/new/alx/
396,http://www.jrnl.com/cfdocs/new/pw/
397,http://www.jrnl.com/cfdocs/new/arl/
398,http://www.jrnl.com/cfdocs/new/ffx/
399,http://www.pilotonline.com/
400,http://www.timesdispatch.com/
401,http://www.dailyprogress.com
402,http://www.dailypress.com/
403,http://www.roanoke.com/roatimes/
404,http://fredericksburg.com/
405,http://news.bellinghamherald.com/
406,http://www.seattletimes.com/
407,http://www.tribnet.com/
408,http://www.eastsidejournal.com/
409,http://www.southcountyjournal.com/
410,http://www.heraldnet.com/
411,http://www.chronline.com/
412,http://www.tri-cityherald.com/
413,http://www.spokane.net/cover.asp
414,http://www.newswest.com/svherald/
415,http://www.zwire.com/site/news.asp?brd=2088
416,http://wvgazette.com/news/News/
417,http://dailymail.com/news/News/
418,http://www.zwire.com/site/news.asp?brd
419,http://www.cpubco.com/
420,http://www.captimes.com/news/
421,http://www.jsonline.com/news/
422,http://www.wisconsinstatejournal.com/
423,http://www.trib.com/WYOMING/NEWS/
424,http://www.nzherald.co.nz/
425,http://www.csmonitor.com
426,http://www.asia1.com.sg/
427,http://www.thewest.com.au/
428,http://www.serbia.sr.gov.yu/news/
429,http://www.bahraintribune.com/newpdf/
430,http://www.thesundaymail.news.com.au/
431,http://www.theadvertiser.news.com.au/
432,http://www.heraldsun.news.com.au/
433,http://www1.chinadaily.com.cn/news/index.html
434,http://www.thejakartapost.com/headlines.asp
435,http://www.japantimes.co.jp/
436,http://www.portal.telegraph.co.uk/portal/main.jhtml
437,http://www.koreaherald.com/
438,http://www.ananova.com/news/
439,http://www.dailytelegraph.news.com.au/
440,http://www.sumanasa.com/india/main.html
441,http://www.mathematik.uni-ulm.de/de-news/ThisYear/ThisMonth/Today.html
442,http://www.news.com.au/
443,http://dailynewspaper.co.uk/
444,http://maarivenglish.com/
445,http://english.peopledaily.com.cn/
446,http://www.israelnn.com/
447,http://www.guardian.co.uk/
448,http://news.ninemsn.com.au/Default.asp
449,http://www.debka.com/ 
450,http://www.mb.com.ph/
451,http://www.wtps.co.uk/
452,http://www.reuters.com/news.jhtml?type=world
453,"http://www.tempointeractive.com/index,uk.asp"
454,http://www.thecouriermail.news.com.au/
455,http://www.nzoom.com/index.html?nc=7634.09399268316
456,http://www.independent.co.uk/
457,http://canberra.yourguide.com.au/home.asp
458,http://www.thisislondon.com
459,http://mandevilleweekly.com/
460,http://www.jaring.my/tribune/
461,http://www.armeniaglobe.com/
462,http://www.thetimes.co.uk/
463,http://news.bbc.co.uk/
464,http://abcnews.go.com/sections/world/
465,http://www.msnbc.com/news/news_front.asp
466,http://www.jpost.com/
467,http://www.iht.com/
468,http://www.megastories.com/
469,http://www.mirror.co.uk/
470,http://www.europeaninternet.com/centraleurope/
471,http://home.kyodo.co.jp/
472,http://www.itn.co.uk/
473,http://www.dailystar.com.lb/
474,http://www.germany-info.org/
475,http://www.scmp.com/
476,http://www.irish-times.com/
477,http://www.europeaninternet.com/russia/
478,http://www.smh.com.au/
479,http://newsdesk.bigpond.com/
480,http://www.cnd.org/Global/
481,http://www.indianewsonline.com/
482,http://www.rediff.com/
483,http://www.arabicnews.com/ansub/
484,http://www.sify.com/
485,http://hk-imail.singtao.com/inews/public/roundup_vfront.cfm?newstype=1&intcatid=1
486,http://www.asahi.com/english/index.html
487,http://www.sptimes.ru/
488,http://www.theage.com.au/news/
489,http://straitstimes.asia1.com/
490,http://www.mg.co.za/mg/
491,http://www.jta.org/
492,http://www.eveningtimes.co.uk/
493,http://www2.nando.net/nt/world/
494,http://www.theaustralian.news.com.au/
495,http://www.yomiuri.co.jp/index-e.htm
496,http://www.news.pari.bg/cgi-bin/pari-eng.home.cgi
497,http://www.scotsman.com/
498,http://business-times.asia1.com.sg/home
499,http://www.jaring.my/star/
500,http://www.hinduonnet.com/
501,http://www.press.co.nz/
502,http://frontierpost.com.pk/
503,http://www.timesofindia.com/
504,http://www.haaretzdaily.com/
505,http://www.kimsoft.com/korea.htm
506,http://icelandreview.com/
507,http://www.mainichi.co.jp/index-e.html
508,http://www.washingtontimes.com/world/
509,http://www.expressindia.com/
510,http://www.abc.net.au/news/
511,http://www.netradio.net/news/audio/hotbeds.ram
512,http://www.ceskenoviny.cz/news/
513,http://www.zamnet.zm/zamnet/post/post.html
514,http://www.bangkokpost.net/
515,http://netiran.com/Current/IranNews/current.html
516,http://www.belfasttelegraph.co.uk/
517,http://www.lanka.net/lakehouse/
518,http://www.newsroom.co.nz/
519,http://www.manilatimes.net/
520,http://www.rferl.org/
521,http://www.newsrunner.com/
522,http://www.ttol.co.tt
523,http://www.oneworld.net/news/today/
524,http://www.indolink.com/News/India/index.html
525,http://netiran.com/Current/TehranTimes/current.html
526,http://www.hindustantimes.com
527,http://www.dailyrecord.co.uk/shtml/main.shtml
528,http://english.sina.com/
529,http://vlad.tribnet.com/
530,http://www.kompas.com/
531,http://www.theherald.co.uk/
532,http://www.dawn.com/daily/today/
533,http://www.deccanherald.com/
534,http://www.cambridge-news.co.uk/
535,http://www.jamaica-gleaner.com/gleaner/index.pl
536,http://www.examiner.co.uk/
537,http://www.newsmax.com/
538,http://www.rollcall.com/
539,http://www.nytimes.com/pages/politics/
540,http://www.washingtontimes.com/national/
541,http://clerkweb.house.gov/floor/current.htm
542,http://www.penncen.com/psotd/
543,http://capwiz.com/c-span/home/
544,http://www.evote.com/
545,http://www.argushamilton.com/today.htm
546,http://www.worldnetdaily.com/news/archives.asp?AUTHOR_ID=11
547,http://www.rushlimbaugh.com/home/today.guest.html
548,http://www.uexpress.com/coveringthecourts/
549,http://www.nytimes.com/yr/mo/day/editorial/
550,http://www.miami.com/herald/special/features/barry/index.htm
551,http://www.uexpress.com/ontheright/
552,http://www.unitedmedia.com/editoons/berry/
553,http://www.msnbc.com/news/OP_Front.asp
554,http://www.ucomics.com/patoliphant/
555,http://www.jimhightower.com
556,http://www.newsobserver.com/powell/
557,http://www.ucomics.com/tomtoles/
558,http://www.ucomics.com/bensargent/
559,http://www.sfgate.com/columnists/carroll/
560,http://63.147.64.127/keefe/
561,http://www.ucomics.com/stuartcarlson/
562,http://www.unitedmedia.com/editoons/rogers/
563,http://cagle.slate.msn.com/politicalcartoons/PCcartoons/margulies.asp
564,http://www.ucomics.com/tonyauth/
565,http://www.ucomics.com/billdeore/
566,http://www.nandotimes.com/opinions/
567,http://www.unitedmedia.com/editoons/schorr/
568,http://www.comicspage.com/davies/index.html
569,http://www.comicspage.com/wrightd/index.html
570,http://www.unitedmedia.com/editoons/benson/
571,http://www.unitedmedia.com/editoons/holbert/
572,http://www.unitedmedia.com/editoons/stein/
573,http://www.unitedmedia.com/editoons/stahler/
574,http://www.unitedmedia.com/editoons/payne/
575,http://www.weather.com/
576,http://www.nws.noaa.gov/
577,http://weather.yahoo.com/graphics/outlook/US48.html
578,http://www.usatoday.com/weather/wext.htm
579,http://weather.yahoo.com/graphics/satellite/US.html
580,http://www.intellicast.com/weather/usa/radar/
581,http://weather.yahoo.com/graphics/temperature/US_Hi.html
582,http://www.intellicast.com/LocalWeather/World/
583,http://weather.yahoo.com/graphics/fronts/US24.html
584,http://www.msnbc.com/news/wea_front.asp
585,http://weather.yahoo.com/graphics/temperature/US_Lo.html
586,http://www1.accuweather.com/
587,http://www.theweathernetwork.com
588,http://economictimes.indiatimes.com/
589,http://www.hsh.com/mtgrates.html
590,http://www.fxstreet.com/
591,http://www.economist.com/
592,http://afr.com/
593,http://www.forexnews.com/
594,http://news.ino.com/
595,http://australianit.news.com.au/
596,http://www.theaxcess.net/
597,http://www.businessweek.com/today.htm
598,http://www.usatoday.com/money/mfront.htm
599,http://money.cnn.com/news/
600,http://www.fortune.com/
601,http://www.fool.com/
602,http://news.ft.com/home/us
603,http://fast.quote.com/fq/forbes/group?group=mm
604,http://www.quicken.com/investments/quotes/?symbol
605,http://www.bloomberg.com/bbn/
606,http://www.moneynet.com/
607,http://abcnews.go.com/sections/business/
608,http://finance.lycos.com/home/portfolio/intro.asp
609,http://www.quotations.com/bz_all.htm
610,http://www.businesswire.com
611,http://www.investors.com/
612,http://www.editorandpublisher.com/editorandpublisher/index.jsp
613,http://www.abslive.com/abslive.ram
614,http://www.netradio.net/news/audio/business.ram
615,http://www.nni.nikkei.co.jp/
616,http://www.msnbc.com/news/COM_Front.asp
617,http://www.positivepress.com/news/business.html
618,http://www.prnewswire.com/
619,http://adage.com/news_and_features/deadline/
620,http://www.dmnews.com/
621,http://www2.nando.net/nt/biz/
622,http://cbs.marketwatch.com/news/newsroom.htx
623,http://www.afr.com.au/
624,http://www.globes.co.il/
625,http://www.internetnews.com
626,http://computernewsdaily.com/
627,http://www.techtv.com/techtv/
628,http://www.keeganbrothers.com/news.shtml
629,http://www.pcmike.com/
630,http://www.pcworld.com/pcwtoday/
631,http://www.pcmag.com/
632,http://www.eweek.com/
633,http://www.wired.com/news/
634,http://webreview.com/
635,http://www.nytimes.com/pages/technology/
636,http://www.internetnews.com/
637,http://www.news.com/
638,http://www.msnbc.com/news/TECH_Front.asp
639,http://www.webweek.com/
640,http://slashdot.org/
641,http://www.informationweek.com/
642,http://www.zdnet.com/zdnn/computing/
643,http://abcnews.go.com/sections/tech/
644,http://www.videogamenews.com/
645,http://www.macresource.com/
646,http://www.infoworld.com
647,http://www.cooltool.com/tool.cgi
648,http://www.applelinks.com/
649,http://www.techweb.com/
650,http://popularmechanics.com/technology/
651,http://www.pcme.com/
652,http://maccentral.macworld.com/
653,http://linuxtoday.com
654,http://pc.ign.com/
655,http://deal-mac.com/
656,http://www.newslinx.com/
657,http://www.macintouch.com/
658,http://www.bluesnews.com
659,http://www.tidbits.com/tb-issues/TidBITS-current.html
660,http://www.zdnet.com/anchordesk/
661,http://www.worldvillage.com/
662,http://www.gamespot.com
663,http://www.newsbytes.com/
664,http://www.nandotimes.com/technology/
665,http://www.time.com/time/digital/
666,http://ogrady.com/
667,http://www.digitalsports.com/
668,http://www.macosrumors.com/
669,http://hyperarchive.lcs.mit.edu/HyperArchive/Abstracts/Recent-Summary.html
670,http://www.macnn.com/
671,http://www.netradio.net/news/audio/infobahn.ram
672,http://www.macfixit.com/
673,http://www.computerworld.com/realaudio/audiominute.ram
674,http://www.space.com/
675,http://quake.wr.usgs.gov/recent/index.html
676,http://www.everything-space.com/index.html
677,http://science.nasa.gov/
678,http://hubble.stsci.edu/news_.and._views/
679,http://new.popsci.com/science/
680,http://www.sciam.com/
681,http://dsc.discovery.com/news/news.html
682,http://antwrp.gsfc.nasa.gov/apod/astropix.html
683,http://www.nasa.gov/today/
684,http://abcnews.go.com/sections/scitech/
685,http://www.nature.com/
686,http://www.earthsky.com/Shows/Latest/
687,http://www.sciencedaily.com/
688,http://www.eurekalert.org/pubnews.php
689,http://www.earthsky.com/today.ram
690,http://www.newscientist.com/
691,http://unisci.com/
692,http://www.astronomy.com/
693,http://www.gospelcom.net/rbc/utmost/today/
694,http://www.devotions.net/
695,http://netministries.org/chrlive/cl_news.html
696,http://www.moody.edu/st/tiw/tdw/devotional.cfm
697,http://www.catholicmusicnetwork.com/news/
698,http://www.guideposts.org/
699,http://cbn.com/
700,http://www.gospelcom.net/gf/dw/dw.html
701,http://www.wwol.com/~mcoley/daily-reading.html
702,http://www.gospelcom.net/rbc/odb/odb.shtml
703,http://www.ewtn.com/vnews/headlines.asp
704,http://www.upperroom.org/devotional/
705,http://rev-fun.gospelcom.net/
706,http://www.religionnews.com/
707,http://news.crosswalk.com/
708,http://ccel.org/s/spurgeon/morn_eve/this_morning.cgi?
709,http://ccel.org/s/spurgeon/morn_eve/this_evening.cgi?
710,http://www.ivillage.com
711,http://www.menshealth.com/
712,http://www.usatoday.com/news/healthscience/hsfront.htm
713,http://www.pslgroup.com/dg/past7days.htm
714,http://www.reutershealth.com/
715,http://pollen.com/Pollen.com.asp
716,http://www.medscape.com/medscapetodayhome
717,http://www.thriveonline.com/
718,http://www.positivepress.com/news/health.html
719,http://www.nandotimes.com/healthscience/
720,http://www.intelihealth.com/IH/ihtIH?t=333&
721,http://www.netradio.net/news/audio/health.ram
722,http://www.nationalgeographic.com/ngm/
723,http://ubl.artistdirect.com/music/ubl/news/
724, http://www.soundspike.com
725,http://www.cmt.com/
726,http://www.artsjournal.com/
727,http://www.pbs.org/
728,http://www.dog.com/
729,http://www.cbs.com/latenight/lateshow/top_ten/
730,http://people.aol.com/people/daily/daily.html
731,http://dsc.discovery.com/
732,http://www.tvguide.com/
733,http://www.ew.com/ew/
734,http://www.mtv.com/news/
735,http://www.gist.com/
736,http://www.billboard.com/billboard/daily/index.jsp
737,http://www.creators.com/lifestyle_show.cfm?columnsName=mmg
738,http://www.creators.com/lifestyle_show.cfm?columnsName=ala
739,http://www.billboard.com/billboard/thisday/thisday.jsp
740,http://us.imdb.com/M/on-this-day
741,http://www.livedaily.citysearch.com/news.html
742,http://www.msnbc.com/news/liv_front.asp
743,http://www.sonicnet.com/news/
744,http://abcnews.go.com/sections/entertainment/
745,http://www.usatoday.com/life/digest/ld1.htm
746,http://www.stairwell.com/doc/exam.html
747,http://conk.com/
748,http://www.netradio.net/news/audio/musicbiz.ram
749,http://www.utne.com/
750,http://www.newengland.com/radio/radiotext.html
751,http://www.topfive.com/
752,http://www.netradio.net/country/audio/countrynews.ram
753,http://www.salon.com/
754,http://artswire.org/Artswire/www/current.html
755,http://www.eurweb.com/
756,http://video.csmonitor.com/arts/crossword/index.html
757,http://www2.nando.net/nt/entertainment/
758,http://www.positivepress.com/news/light.html
759,http://www.dailyvault.com/
760,http://www.swoon.com/
761,http://abcnews.go.com/sections/living/
762,http://www.netradio.net/news/audio/flap.ram
763,http://sportsillustrated.cnn.com/
764,http://www.finebaum.com/articles_finebaum.html
765,http://www.velonews.com/
766,http://espn.go.com/
767,http://www.usatoday.com/sports/scores98/scores.htm
768,http://www.nfl.com/news/
